Wall time,Step,Value
1747051616.9932172,12000,-110.92340087890625
1747051643.9956205,24000,-111.93708801269531
1747051669.4728198,36000,-112.64462280273438
1747051695.5228043,48000,-111.59642791748047
1747051722.1224692,60000,-110.55402374267578
1747051747.3971016,72000,-113.18919372558594
1747051773.1202862,84000,-112.48623657226562
1747051798.4504883,96000,-112.28738403320312
1747051823.8483715,108000,-112.40631103515625
1747051849.9791865,120000,-111.78997802734375
1747051875.0779061,132000,-112.8505630493164
1747051901.0256536,144000,-112.45694732666016
1747051926.5452352,156000,-111.7496337890625
1747051951.573086,168000,-112.38472747802734
1747051976.6684892,180000,-111.2425308227539
1747052002.3361256,192000,-110.8535385131836
1747052029.4956057,204000,-111.642822265625
1747052058.585113,216000,-111.48119354248047
1747052087.1226938,228000,-111.22661590576172
1747052116.3694632,240000,-109.88506317138672
1747052145.6816342,252000,-111.56698608398438
1747052173.7452536,264000,-111.55113220214844
1747052203.8499484,276000,-111.0263442993164
1747052232.6643798,288000,-111.46315002441406
1747052261.9065657,300000,-110.65807342529297
1747052289.9262462,312000,-111.17013549804688
1747052317.7419767,324000,-110.88274383544922
1747052346.1531484,336000,-110.9621810913086
1747052375.8899894,348000,-110.01535034179688
1747052404.7786222,360000,-111.15792846679688
1747052434.63488,372000,-110.41181182861328
1747052463.613547,384000,-109.61189270019531
1747052492.9752905,396000,-110.62934112548828
1747052521.7505045,408000,-108.82694244384766
1747052549.895599,420000,-110.13915252685547
1747052577.719931,432000,-110.34140014648438
1747052607.8037412,444000,-109.12867736816406
1747052637.8643034,456000,-108.38521575927734
1747052666.9045963,468000,-110.33026123046875
1747052694.8723505,480000,-107.99696350097656
1747052723.5629232,492000,-108.5932388305664
1747052751.8465736,504000,-108.34395599365234
1747052781.7940989,516000,-108.86043548583984
1747052810.884186,528000,-109.46480560302734
1747052841.2310355,540000,-108.2829818725586
1747052869.9318185,552000,-110.05235290527344
1747052898.5964787,564000,-110.06717681884766
1747052927.8521225,576000,-109.99234771728516
1747052958.6100502,588000,-109.8250961303711
1747052986.8470302,600000,-110.23033142089844
1747053016.1986246,612000,-109.76740264892578
1747053045.0579414,624000,-109.80939483642578
1747053073.9881039,636000,-109.8862533569336
1747053096.100039,648000,-110.21817779541016
1747053122.0525753,660000,-110.14936065673828
